"","id","player","team","overall_ecr","adp","adp_sd","uncertainty","tier","proj_fp_avg","player_type","seasons_played","hist_fp_avg","hist_delta_avg","hist_delta_last","proj_fp_median","proj_sd","num_sources","projection_rank","replacement_points","vor","vor_rank","aav","career_games","hist_fp_max","last_season_fp","pos"
"132","15779","Romeo Doubs","NEP",130.84,131.496,17.9907960913351,0.26,9,158.88,"Veteran (3+ yrs)",4,142.45,16.43,-4.52000000000001,156.2,23.4360192865597,5,52,181.81,-22.93,52,4.4595,59,174.4,163.4,"WR"
"133","17075","Matthew Golden","GBP",130.35,126.852,12.5476872769447,0.28,9,158.44,"Young (1-2yrs)",1,73,85.44,85.44,154.2,19.0251938229286,5,53,181.81,-23.37,53,3.3095,14,73,73,"WR"
"134","16080","Rashid Shaheed","SEA",141.07,139.44,27.1570442058778,0.63,9,153.04,"Veteran (3+ yrs)",4,120.075,32.965,5.74000000000001,145.5,42.7253203615842,5,54,181.81,-28.77,54,3.834,51,153.7,147.3,"WR"
"135","14833","Jerry Jeudy","CLE",176.02,158.7775,15.2027964121736,0.32,9,152.28,"Veteran (3+ yrs)",6,157.716666666667,-5.43666666666667,31.28,153.2,17.6702292005509,5,55,181.81,-29.53,55,3.684,91,236.9,121,"WR"
"136","16809","Jalen Coker","CAR",136.75,142.81,14.0899794180119,0.29,10,149.78,"Young (1-2yrs)",2,90.48,59.3,61.38,147.9,18.9049464426642,5,56,181.81,-32.03,56,2.441,22,92.56,88.4,"WR"
"137","17501","KC Concepcion","CLE",135.15,127.388,8.65329393930427,0.61,10,147.72,"Rookie/No History",NA,NA,NA,NA,155.1,40.1139252629308,5,57,181.81,-34.09,57,15.414,NA,NA,NA,"WR"
"138","17083","Jayden Higgins","HOU",124.18,134.362,12.0758012570595,0.14,10,142.14,"Young (1-2yrs)",1,129.5,12.64,12.64,146.9,11.5285731987961,5,58,181.81,-39.67,58,2.673,17,129.5,129.5,"WR"
"139","16287","Tre Tucker","LVR",178.7,172.4325,26.4373858153563,0.18,10,139.08,"Veteran (3+ yrs)",3,123.933333333333,15.1466666666666,-25.92,140.5,10.3779574098182,5,59,181.81,-42.73,59,1.832,47,165,165,"WR"
"140","13629","Calvin Ridley","TEN",202.1,177.705,54.344604838015,0.76,10,135.52,"Veteran (3+ yrs)",7,176.542857142857,-41.0228571428571,88.22,133.8,42.2088497829543,5,60,181.81,-46.29,60,2.33333333333333,90,281,47.3,"WR"
"141","15794","Trey McBride","ARI",24.93,30.584,11.6965868525823,0.42,1,264.537142857143,"Veteran (3+ yrs)",4,200.75,63.7871428571428,-51.3628571428571,254.53,20.1802384477866,6,1,167.98,96.5571428571428,1,31.338,62,315.9,315.9,"TE"
"142","16641","Brock Bowers","LVR",17.8,29.57,12.3500963558994,0.01,2,249.351428571429,"Young (1-2yrs)",2,219.5,29.8514285714286,74.5514285714286,243.73,8.11522525580043,6,2,167.98,81.3714285714286,2,31.545,29,264.2,174.8,"TE"
"143","17104","Colston Loveland","CHI",39.72,49.468,11.4268830395695,0.25,3,206.002857142857,"Young (1-2yrs)",1,165.4,40.6028571428571,40.6028571428571,205.7,17.0775737096791,6,3,167.98,38.0228571428572,3,18.156,16,165.4,165.4,"TE"
"144","17102","Tyler Warren","IND",60.41,58.458,12.236807426776,0.13,3,197.908571428571,"Young (1-2yrs)",1,190.3,7.60857142857145,7.60857142857145,202.03,12.3711578932228,6,4,167.98,29.9285714285714,4,15.636,17,190.3,190.3,"TE"
"145","17103","Harold Fannin","CLE",88.4,80.064,12.4017427807546,0.49,3,193.508571428571,"Young (1-2yrs)",1,188.5,5.0085714285714,5.0085714285714,191.08,19.5231584095841,6,5,167.98,25.5285714285714,5,7.3795,16,188.5,188.5,"TE"
"146","15329","Kyle Pitts","ATL",89.84,83.766,14.1373994779804,0.21,4,191.657142857143,"Veteran (3+ yrs)",5,146.36,45.2971428571429,-19.1428571428571,185.6,12.6585751097635,6,6,167.98,23.6771428571429,6,8.8345,78,210.8,210.8,"TE"
"147","11244","Travis Kelce","KCC",109.48,112.29,13.4285248631411,0.12,5,180.691428571429,"Veteran (3+ yrs)",11,244.16,-63.4685714285714,-10.8085714285714,181.62,8.59090881605167,6,7,167.98,12.7114285714286,7,5.6245,175,314.9,191.5,"TE"
"148","16214","Sam LaPorta","DET",77.86,80.752,14.8036906209229,0.11,4,179.314285714286,"Veteran (3+ yrs)",3,172.366666666667,6.94761904761904,72.4142857142857,184.4,12.9946692367074,6,8,167.98,11.3342857142857,8,8.6215,42,235.6,106.9,"TE"
"149","16222","Tucker Kraft","GBP",58.89,72.726,9.43818329976697,0.36,3,177.46,"Veteran (3+ yrs)",3,119.4,58.06,59.96,178.71,14.2379012966565,6,9,167.98,9.48000000000002,9,10.354,39,162.2,117.5,"TE"
"150","13299","George Kittle","SFO",96.39,103.766,10.3206697457093,0.34,4,172.814,"Veteran (3+ yrs)",9,190.5,-17.686,11.014,171.4,16.8494504361418,5,10,167.98,4.834,10,7.8865,124,257,161.8,"TE"
"151","13674","Dallas Goedert","PHI",113.42,107.842,25.648451337264,0.65,4,172.171428571429,"Veteran (3+ yrs)",8,135.125,37.0464285714286,-12.9285714285714,179.6,21.4006786719265,6,11,167.98,4.19142857142859,11,4.4685,107,185.1,185.1,"TE"
"152","13671","Mark Andrews","BAL",115.32,119.89,6.25099032154106,0.18,4,169.66,"Veteran (3+ yrs)",8,178.875,-9.215,35.66,172.7,8.2793719568576,5,12,167.98,1.68000000000001,12,4.4815,121,297.4,134,"TE"
"153","15798","Isaiah Likely","NYG",112.76,108.312,13.8433484388713,0.68,5,167.98,"Veteran (3+ yrs)",4,94.45,73.53,106.28,155.3,22.4821484738447,5,13,167.98,0,13,5.379,55,123.7,61.7,"TE"
"154","15799","Jake Ferguson","DAL",129.89,125.972,13.9583830009067,0.17,6,167.96,"Veteran (3+ yrs)",4,129.075,38.885,-18.44,168.8,9.33664822085528,5,14,167.98,-0.0199999999999818,14,3.382,59,186.4,186.4,"TE"
"155","14861","Juwan Johnson","NOS",146.91,144.766666666667,8.05888881229224,0.42,6,160.98,"Veteran (3+ yrs)",6,99.35,61.63,-18.92,156.7,16.6771400425852,5,15,167.98,-6.99999999999997,15,3.17333333333333,79,179.9,179.9,"TE"
"156","16213","Dalton Kincaid","BUF",103.61,121.232,14.6528992353049,0.41,5,158.4,"Veteran (3+ yrs)",3,125.733333333333,32.6666666666667,32.3,152.7,16.8712773671705,5,16,167.98,-9.57999999999998,16,3.52,41,150.3,126.1,"TE"
"157","12676","Hunter Henry","NEP",153.75,149.906,13.7489950178186,0.06,6,155.8,"Veteran (3+ yrs)",9,140.277777777778,15.5222222222222,-23,154.4,8.47260290583713,5,17,167.98,-12.18,17,2.924,129,178.8,178.8,"TE"
"158","16269","Brenton Strange","JAC",154.99,158.125,10.6075692314498,0.46,6,150.56,"Veteran (3+ yrs)",3,74.5333333333333,76.0266666666667,32.56,142.9,19.4943068612352,5,18,167.98,-17.42,18,3.05733333333333,33,118,118,"TE"
"159","13772","Dalton Schultz","HOU",205.99,165.9175,25.332572288459,0.15,7,148.76,"Veteran (3+ yrs)",8,120.95,27.81,-28.94,149.6,10.9719187018497,5,19,167.98,-19.22,19,2.1435,111,206.8,177.7,"TE"
"160","14138","TJ Hockenson","MIN",220.98,152.21,17.177654088961,0.24,7,148.2,"Veteran (3+ yrs)",7,147.085714285714,1.11428571428573,35.1,148.6,16.2032404166574,5,20,167.98,-19.78,20,3.165,97,219,113.1,"TE"
